,PC1,PC2,PC3,PC4,PC5,PC6,Max angle,Sample
0,13.7636,9.057179,0.54650426,2.4229395,5.3476305,7.1796103,96.0,81
1,14.002046,9.835247,1.4795064,2.870611,5.040916,6.755266,101.0,4
2,2.391491,4.9405813,8.472274,4.1638546,3.5856278,0.4298025,90.0,4
3,13.912158,8.500292,1.6086946,3.1205635,5.456316,7.088325,104.0,4
4,14.147624,5.8931584,1.4563993,2.840295,6.3018026,8.003495,104.0,4
5,13.9590435,8.731668,0.94632363,2.513689,5.3593726,6.9375286,98.0,4
6,13.49053,9.874764,0.77591294,2.821797,4.879654,6.0340967,90.0,4
7,14.082255,9.759511,1.872076,3.0677316,5.073669,6.9904623,118.0,4
8,13.924048,10.644378,0.5872964,2.2449715,4.6334715,5.128137,90.0,4
9,13.441299,10.883279,1.0468968,2.889593,4.506186,5.368905,90.0,4
10,14.329956,8.950912,1.3517047,2.3838968,5.4044695,7.2531157,104.0,4
11,14.121185,9.762332,1.4875668,2.7130527,5.0136395,6.6989336,104.0,4
12,13.768531,10.984015,1.1100137,2.645391,4.550492,5.383324,90.0,4
13,14.583307,7.984479,-0.44021422,1.35421,5.7219977,7.1127796,90.0,4
14,2.054977,5.4475536,8.53296,5.2007613,2.5882618,0.8165303,75.0,5
15,13.969541,10.144763,-0.4601438,1.453289,4.9498262,6.0929418,90.0,5
16,13.423038,10.354738,-0.008331375,2.3194208,4.725006,5.59561,90.0,5
17,14.501499,9.612736,-0.5409685,0.31628942,5.2959313,6.445625,90.0,5
18,14.4497175,8.663104,-0.7214286,0.8394441,5.661983,7.224646,90.0,5
19,14.529582,9.8022,-0.40591654,0.4794018,5.312457,6.1515217,70.0,5
20,14.274493,9.081606,-0.64793974,1.3592352,5.3068533,6.7113767,90.0,5
21,14.080028,9.7715025,0.9096507,2.341113,5.029338,5.9725947,90.0,5
22,15.014578,6.563884,0.029599205,2.0193603,6.4611864,8.655301,90.0,5
23,14.502571,9.648992,-0.45328602,0.4892712,5.3002687,6.19325,67.0,5
24,14.203769,8.5848465,-0.26870444,1.5811453,5.414599,7.022057,98.0,5
25,14.860894,7.0530386,-0.09478745,1.8288813,6.229525,8.223472,90.0,5
26,13.413127,11.012339,1.484562,3.1304529,4.494854,5.37142,90.0,5
27,13.491308,9.834844,0.05904356,2.3424153,4.9802523,6.308027,90.0,5
28,13.381649,10.941287,1.1792688,3.0639951,4.446936,5.499842,90.0,5
29,2.6128302,5.461227,7.7047143,5.122716,1.9465522,0.5206586,71.0,6
30,14.259482,7.8094935,1.2278574,3.0398178,6.2137866,10.251465,119.0,6
31,14.305686,9.745971,-0.63838476,0.81552744,5.1961403,6.553834,90.0,6
32,13.686593,8.158035,0.77610654,2.658269,5.546254,7.370841,104.0,6
33,13.250119,10.368319,0.8376053,3.0003781,4.6811714,5.6996126,90.0,6
34,14.3238,9.772755,-0.37396201,1.1153927,5.1799726,6.3555226,90.0,6
35,14.431746,8.932385,0.41590363,1.1572509,5.680352,7.705539,104.0,6
36,13.876629,7.965236,0.7914597,2.0959437,5.866209,8.236865,104.0,6
37,13.652213,7.9686613,1.0357503,2.8360386,5.562444,6.8181777,90.0,6
38,14.063828,10.184291,0.14774786,1.8655413,4.897094,5.754726,90.0,6
39,13.8324175,8.245406,-0.21259709,1.6810857,5.452465,7.103872,94.0,6
40,14.061489,9.650748,-0.2185082,1.5924065,5.111135,6.216646,90.0,6
41,14.044752,9.756414,1.3676285,2.7596784,5.0679803,6.620027,98.0,6
42,14.050408,8.01579,0.9588323,2.4968789,5.932988,8.425097,104.0,6
43,2.458881,5.1669545,8.070844,4.556969,2.2604969,0.35123464,90.0,6
44,14.557981,7.8240294,0.76537716,2.6005504,6.024365,8.848479,108.0,6
45,13.914973,9.136689,-0.536436,1.2505378,5.5615683,7.5138845,90.0,7
46,13.645367,10.477556,-0.25265038,1.8766172,4.7255683,5.6874485,90.0,7
47,14.179631,9.627191,0.05386554,1.7047154,5.099748,6.017287,90.0,7
48,15.040052,7.189012,0.2706617,2.732507,6.250032,9.228598,98.0,7
49,13.881704,10.100334,0.57376844,2.3880486,4.966648,6.387802,90.0,7
50,13.818112,8.586578,-0.42214254,1.5690534,5.484806,7.129496,90.0,7
51,13.592621,7.2830443,0.3675565,2.3608744,5.775908,7.099604,90.0,7
52,13.723078,8.089314,0.12259071,2.1367729,5.519829,7.0546784,94.0,7
53,13.719789,8.820858,0.72433484,2.6124156,5.336018,7.20322,99.0,7
54,13.501276,9.529283,0.6197727,2.716462,4.9950566,6.1660895,90.0,7
55,14.306478,10.085908,-0.48369113,1.0061741,5.0527024,6.132735,90.0,7
56,14.002759,8.191594,-0.39527008,0.78034836,5.7541804,7.0038695,77.0,7
57,13.759224,8.947793,0.19299722,2.0313222,5.5768957,7.9196014,98.0,7
58,13.573113,9.906544,0.13688616,2.3530626,4.9360785,6.220275,90.0,7
59,14.531916,8.481398,-0.5290773,1.3141183,5.5824223,6.9557514,90.0,7
60,14.409321,9.22146,-0.46224043,0.5828231,5.413273,6.9183917,95.0,7
61,13.816402,9.540818,-0.26125512,1.7067034,5.3067803,7.059874,90.0,8
62,14.069782,8.55642,0.87264276,2.0983577,5.5242286,7.984637,108.0,8
63,14.262925,8.4155245,-0.34832388,2.9695349,6.039945,10.725458,98.0,8
64,13.646382,8.526544,-0.062244155,2.0263414,5.616501,7.3058004,90.0,8
65,13.984628,5.5006237,1.055056,2.2927973,6.5874505,8.17842,100.0,8
66,13.887424,9.894148,-0.5706346,1.3756746,5.190138,6.8865943,90.0,8
67,13.551081,8.363424,0.5172663,2.5992334,5.583357,7.340554,90.0,8
68,13.841893,8.475533,0.32836938,2.14598,5.573802,6.9414206,90.0,8
69,13.819541,6.3741016,0.26279548,1.9662042,6.2389956,7.5682096,90.0,8
70,14.472311,9.364199,0.174734,1.1556642,5.3994265,7.294026,102.0,8
71,14.196455,9.588336,-0.376904,1.1542404,5.2671895,6.6450367,90.0,8
72,13.834011,7.265582,0.305048,1.676188,5.927248,7.0644197,90.0,8
73,13.849427,6.850911,0.2854133,1.4320185,6.219063,7.3713675,90.0,8
74,13.889378,6.8641167,0.65416515,1.6735524,6.1273885,7.059641,90.0,8
75,13.747404,6.0953145,0.44467726,1.839499,6.5437136,8.007979,90.0,8
76,14.318246,10.107342,-0.16391794,1.2761325,5.013278,5.8772016,85.0,8
77,14.06903,7.3455606,0.2204832,0.9238951,6.2023997,7.456251,90.0,9
78,14.405369,6.477891,0.7979019,1.8169491,6.5379558,8.5491495,104.0,9
79,13.342864,10.489333,0.083198175,2.499045,4.6370044,5.591035,90.0,9
80,14.602912,9.841883,-0.6358475,0.370876,5.0962706,6.327315,94.0,9
81,13.948132,6.1452084,0.7000938,1.7787603,6.4358354,7.591006,84.0,9
82,13.939712,8.649135,1.0058059,2.4598732,5.492342,7.741767,105.0,9
83,13.848824,8.793652,-0.42733678,1.2285734,5.8347764,8.103413,90.0,9
84,13.999958,6.513848,1.0059118,2.1174798,6.231316,7.620969,101.0,9
85,14.234533,10.047928,-0.24326399,1.3643904,5.0537777,6.116621,90.0,9
86,14.017171,7.2609277,-0.04515292,1.2295989,6.11671,7.302111,90.0,9
87,13.744025,9.441916,-0.5988163,1.4469507,5.328435,7.213997,90.0,9
88,14.460366,7.2845464,2.17477,2.6046014,6.141065,9.768917,143.0,9
89,14.121887,8.89075,-0.46056348,1.2928704,5.54761,7.1490374,90.0,9
90,13.642091,7.577933,0.1606358,2.0829942,5.844337,7.277194,90.0,9
91,13.707549,7.7438664,-0.26080418,1.4692836,6.0195184,7.8043814,90.0,9
92,13.681371,9.80519,-0.39086568,1.7428993,5.1914735,7.031828,90.0,9
93,13.882131,8.99861,1.0874184,2.7239034,5.271813,7.1487465,104.0,10
94,14.345285,8.930726,-0.22194628,0.69469666,5.521026,7.155991,97.0,10
95,14.13842,8.435795,1.1484646,1.9782201,5.782999,8.824477,114.0,10
96,13.960257,9.610653,-0.6212254,1.1950929,5.309023,7.082311,90.0,10
97,14.274381,7.531731,0.55562675,1.043469,6.104486,7.5327854,98.0,10
98,13.861499,5.689128,0.82447106,2.169095,6.507929,7.9398885,77.0,10
99,13.712692,8.398508,0.95832175,2.8769717,5.5606027,7.603442,102.0,10
100,14.31329,8.3360195,-0.5687473,3.0675974,6.0981574,11.075992,95.0,10
101,13.735017,6.5984235,0.3237656,2.2191994,6.0588584,7.4067707,90.0,10
