,Image_Name,Area_avg,Area_max,Area_std,Aspect_ratio_avg,Roundness_avg,Roundness_std,Max angle,Uniqueness_avg,Uniqueness_std,Pore counts,RDF025,pc1,pc2,pc3,pore%,Sample,Power,Speed,Energy_Density,Normalized_Enthalpy,mu,sigma,skewness,kurtosis,Simulation temperature skeweness,Simulation length,Simulation width,Simulation depth,Simulation ratio
10,4_4_1,82.961,310.859,72.815,1.194,0.869,0.061,96.0,0.734,0.239,35.0,45.65,-0.2920266398315541,-0.0022917070267207,0.0005352151630368,0.11888888888888,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
1,4_1_1,66.993,449.018,79.834,1.192,0.856,0.053,101.0,0.68,0.251,32.0,53.9,-0.378852651343544,-0.0014511757259256,0.0010064308323524,0.08472222222221999,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
2,4_1_2,44.134,85.198,30.415,1.131,0.85,0.063,90.0,0.687,0.284,6.0,600.0,-0.5619658648687593,-0.0002688798810671,0.0011956593229032,0.01277777777777,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
3,4_2_1,55.264,283.227,70.037,1.264,0.826,0.076,104.0,0.619,0.281,32.0,36.5,-0.3977044743603198,-0.0008064433271381,0.0013753324390881,0.0775,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
4,4_2_2,104.175,693.1,154.974,1.336,0.823,0.113,104.0,0.746,0.274,29.0,36.375,-0.3163649470164603,0.0008046773987382,0.0019999136557611,0.11027777777777,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
5,4_2_3,77.907,246.384,67.568,1.217,0.854,0.064,98.0,0.736,0.282,18.0,51.35,-0.4514181486967603,-0.0004858107754003,0.0009719736392675,0.05611111111111,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
6,4_3_1,50.576,198.029,47.116,1.17,0.857,0.062,90.0,0.679,0.224,28.0,41.025,-0.4399517106109912,-0.001274696592899,0.0011679755956833,0.06055555555555,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
7,4_3_2,67.106,225.66,58.886,1.112,0.858,0.061,118.0,0.643,0.244,14.0,34.45,-0.4995960571598508,-0.0006138417797462,0.0009820420475861,0.037222222222220006,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
8,4_3_3,64.244,181.91,53.046,1.124,0.849,0.045,90.0,0.673,0.225,10.0,28.75,-0.5238096433464481,-0.0003798101180338,0.0012096987167812,0.027777777777769998,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
9,4_3_4,58.613,156.581,47.102,1.107,0.876,0.054,90.0,0.621,0.186,11.0,42.7,-0.5286974741559605,-0.0003554817178863,0.0012246951622789,0.02583333333333,4,120.0,650.0,87.91208791,8.379002298,816.4836070937766,23.726929793107256,-0.3713037527104054,0.8891416148458937,1.543050346230067,0.0002685391,0.0001097682599999,7.029309e-05,2.4464184819910604
